mt_id,x,y,density,mt,t_seconds,mt_length,deltaR_um
1_250,832,182,250,1,2,5.9734,0
1_250,830.833,188.25,250,1,4,5.9734,1.271603539
1_250,827.25,191,250,1,6,5.9734,0.903335796
1_250,826.375,197.625,250,1,8,5.9734,1.33650664
1_250,823,203,250,1,10,5.9734,1.269350227
1_250,822.042,206.917,250,1,12,5.9734,0.80649
1_250,820.167,212.125,250,1,14,5.9734,1.107048129
1_250,818.083,217,250,1,16,5.9734,1.060352413
1_250,817,221.375,250,1,18,5.9734,0.901410317
1_250,815.75,226.083,250,1,20,5.9734,0.974223055
1_250,813.917,231.167,250,1,22,5.9734,1.080869002
1_250,811.083,237.125,250,1,24,5.9734,1.31953507
1_250,808.958,242.333,250,1,26,5.9734,1.124969137
1_250,807.208,248.083,250,1,28,5.9734,1.202081528
1_250,804.958,252.333,250,1,30,5.9734,0.961769203
1_250,802.042,258.292,250,1,32,5.9734,1.32684192
1_250,798,262.083,250,1,34,5.9734,1.108322065
1_250,795.583,265.5,250,1,36,5.9734,0.837084894
1_250,792.75,269.375,250,1,38,5.9734,0.960031541
1_250,790.333,273.417,250,1,40,5.9734,0.941905579
1_250,786.083,280.083,250,1,42,5.9734,1.58111424
1_250,784.375,283.25,250,1,44,5.9734,0.71964305
1_250,782.333,290.083,250,1,46,5.9734,1.426319081
1_250,780.958,295.25,250,1,48,5.9734,1.069364559
1_250,780.083,298.917,250,1,50,5.9734,0.753989761
1_250,777.917,305.292,250,1,52,5.9734,1.346583544
1_250,776.167,310.042,250,1,54,5.9734,1.012422837
1_250,774.042,313.125,250,1,56,5.9734,0.748879536
1_250,772.333,318.917,250,1,58,5.9734,1.207773903
1_250,767.875,324,250,1,60,5.9734,1.352193078
1_250,764.042,327.042,250,1,62,5.9734,0.978685915
1_250,760.094,331.438,250,1,64,5.9734,1.181719425
1_250,755.906,335.125,250,1,66,5.9734,1.115944676
1_250,753.938,339.031,250,1,68,5.9734,0.874753908
1_250,749.969,344.188,250,1,70,5.9734,1.301500826
1_250,747.031,350.812,250,1,72,5.9734,1.449264917
1_250,742.844,355.312,250,1,74,5.9734,1.229324514
1_250,740.125,359.781,250,1,76,5.9734,1.046229841
1_250,736.906,365.969,250,1,78,5.9734,1.395038422
1_250,734.875,372.594,250,1,80,5.9734,1.385865592
1_250,732.906,376.5,250,1,82,5.9734,0.874843918
1_250,729.844,381.781,250,1,84,5.9734,1.220898112
1_250,727.219,387.156,250,1,86,5.9734,1.196348611
1_250,723.938,391.5,250,1,88,5.9734,1.088766219
1_250,719.969,395.531,250,1,90,5.9734,1.131404826
1_250,716.062,399.125,250,1,92,5.9734,1.061724729
1_250,711.562,402.094,250,1,94,5.9734,1.078238582
1_250,707.969,406.344,250,1,96,5.9734,1.113052541
1_250,704.844,410.188,250,1,98,5.9734,0.990796871
1_250,699.906,414.469,250,1,100,5.9734,1.307070082
1_250,696,418.875,250,1,102,5.9734,1.177619157
1_250,692.812,423.281,250,1,104,5.9734,1.087679732
1_250,688.938,427.188,250,1,106,5.9734,1.100409469
1_250,684.281,430.969,250,1,108,5.9734,1.199726802
1_250,680.625,434.188,250,1,110,5.9734,0.974233997
1_250,675.25,439.062,250,1,112,5.9734,1.451158172
1_250,671.281,441.531,250,1,114,5.9734,0.934856609
1_250,666.312,445.969,250,1,116,5.9734,1.332468461
1_250,662.812,447.062,250,1,118,5.9734,0.733338912
1_250,657.031,448.125,250,1,120,5.9734,1.17558377
1_250,651.438,449.906,250,1,122,5.9734,1.173943951
1_250,646,450.438,250,1,124,5.9734,1.092792167
1_250,639,450.344,250,1,126,5.9734,1.400126223
1_250,634,451.281,250,1,128,5.9734,1.017407863
